,Warehouse,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Howick,New World Long Bay,New World Metro Queen St,New World Milford,New World Mt Roskill,New World New Lynn,New World Papakura,New World Papatoetoe,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square BKs Torbay,Four Square Botany Junction,Four Square Cockle Bay,Four Square Ellerslie,Four Square Everglade,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Great Eastern,Four Square Hobsonville,Four Square Lancaster,Four Square Pakuranga Heights,Fresh Collective Alberton
New World Metro Queen St,14736.7,17459.83,9459.22,19808.34,20310.92,16023.51,7269.84,15317.98,22425.97,23418,0,11610.7,12869.36,12638.92,33630.14,20690.16,6865.7,26111.06,10534.78,1711.78,17196.26,19629.89,28977.32,10308.96,15655.38,15614.12,17501.45,21301.35,9445.37,22499.39,29837.53,8794.55,12673.18,12341.4,18973.68,23210.88,21309.44,23945.48,8458.97,23257.98,16675.01,15936.34,10604.61,22844.15,12544.74,16987.54,6603.28
New World Milford,24399.97,9226.31,7573.1,29628.52,8972.3,9984.09,18310.74,24981.25,32246.15,13335.37,11351.3,0,22532.63,22302.2,43450.32,30510.33,16685.88,35931.24,20354.96,10480.66,8962.74,29450.07,38797.5,24444.22,25318.65,23875.14,27321.63,31121.53,19108.65,32319.57,39657.7,18614.73,22493.36,2535.2,19658.35,11586.6,31129.62,33765.66,18279.15,33078.16,25714.7,25599.62,23338.3,16315.28,8013.42,26807.72,16266.56
New World Mt Roskill,1056.14,28563.15,20562.54,18558.27,31414.24,27126.84,13275.82,7253.69,21175.9,34521.32,14070.79,22714.03,0,6705.88,30274.65,16698.38,8427.72,22755.56,11215.08,8369.09,28299.59,18379.82,19663.55,16828.4,14066.02,14024.77,10393.39,19031.68,9876.95,23559.13,26482.03,5439.66,12896.11,23444.72,17384.32,34314.2,22686.56,22695.41,9323.53,20391.09,15085.65,10758.73,16810.64,21254.8,23648.06,15737.46,4343.55
New World New Lynn,6943,29252.4,21100.85,23310.38,33556.92,27665.15,20017.2,3183.28,25928.01,35059.63,14609.09,23252.33,6578.14,0,35026.76,21450.5,16584.14,27507.68,17109.57,11707.57,28988.83,23131.93,24415.66,21580.51,8397.98,11560.15,15145.5,23783.79,11319.21,28311.24,31234.14,10191.78,17648.22,23983.04,14919.7,34852.51,27438.67,27447.52,14075.64,25143.2,10442.22,4383.86,21562.76,18790.18,24186.38,20489.58,6845.05
New World Papakura,31604.84,49855.55,41854.94,18629.6,52706.64,48419.24,32823.5,38063.84,23118.92,55813.72,33722.13,44006.43,30763.13,35426.57,0,16512.99,28331.38,8919.55,26711.5,33983.61,49591.99,19151.74,11456.55,27782.46,44249.79,44208.54,21966.97,13486.14,39558.34,14550.7,1814.19,29681.82,22687.73,44737.13,47568.09,55606.6,15402.25,26398.62,26333.68,10420.28,45269.42,41568.88,27764.71,51438.57,44940.46,24888.37,36716.24
New World Papatoetoe,17692.95,36298.57,28297.96,9110.06,39149.66,34862.26,19266.52,24151.95,14074.02,42256.74,20165.15,30449.44,16851.24,21514.68,16243.01,0,14774.4,8217.9,13154.52,20426.63,36035.01,9632.21,7650.29,14225.48,30337.9,30296.65,6676.19,3289.69,26001.36,7849.69,12450.39,15769.93,9130.75,31180.14,33656.2,42049.62,6659.74,14538.87,12776.7,5951.85,31357.53,27656.99,14207.72,37526.68,31383.48,11331.39,20867.71
New World Remuera,9511.32,24355.31,16354.69,14588.77,27206.39,22918.99,5085.61,17224.22,17206.4,30313.48,6788.08,18506.18,8669.62,17251.63,28410.57,15470.59,0,20891.49,4198.58,8483.36,24091.74,14410.32,23757.75,6809.55,20268.09,20226.84,14975.31,16081.78,14058.09,17279.82,24617.96,5085.63,7453.61,19236.88,23586.39,30106.35,16089.87,18725.91,3224.48,18038.41,21287.72,20549.06,7181.93,27456.87,19440.22,11767.97,8627.14
New World Southmall,23537.41,41788.13,33787.52,10976.23,44639.22,40351.81,24756.08,29996.41,15940.19,47746.3,25654.7,35939,22695.71,27359.15,8759.8,7837.93,20263.96,0,18644.08,25916.19,41524.56,11498.37,3489.24,19715.04,36182.37,36141.12,13899.54,5418.72,31490.91,8621.46,5525.12,21614.4,14620.31,36669.7,39500.67,47539.18,7748.89,16405.04,18266.26,3514.86,37202,33501.46,19697.28,43371.15,36873.04,16820.95,28648.82
New World Stonefields,12247.19,26393.46,18392.85,9765.65,29244.55,24957.14,5177.66,19830.8,11843.45,32351.63,10260.03,20544.33,11405.48,19289.79,26274.36,13334.38,4168.83,18755.28,0,10521.52,26129.89,9587.2,21621.54,3628.27,22306.24,22264.99,14669.08,13945.57,16096.24,15143.61,22481.74,7520.87,3676.79,21275.03,25624.54,32144.5,13953.66,13362.96,3319.41,15902.21,23325.87,22587.21,3610.51,29495.02,21478.37,6956.59,13254.15
New World Victoria Park,10142.17,16441.25,8440.64,20031.93,19292.34,15004.94,8966.78,14913.57,22649.56,22399.42,1725.27,10592.12,9300.46,12234.51,33853.73,20913.74,7089.28,26334.65,10758.37,0,16177.69,19853.48,29200.91,12005.9,15250.96,15209.71,17725.04,21524.94,9040.96,22722.97,30061.11,9018.13,12896.76,11322.82,18569.27,22192.3,21533.03,24169.06,8682.56,23481.57,16270.59,15531.93,13741.71,23530.23,11526.16,17211.13,5571.62
Pak 'n Save Albany,30380.98,560.79,13558.17,35609.53,5721.25,18084.99,24291.76,30962.27,38227.16,7562.46,17332.31,9127.32,28513.64,28283.21,49431.34,36491.35,22666.89,41912.25,26335.97,16461.67,0,35431.08,44778.51,30425.24,22124.69,19815.42,33302.64,37102.54,25089.66,38300.58,45638.71,24595.74,28474.37,7710.96,15598.63,7355.33,37110.63,39746.67,24260.17,39059.18,21654.98,28359.28,29319.32,12255.56,11859.01,32788.73,22247.57
Pak 'n Save Botany,20196.55,35565.45,27564.84,687.11,38416.54,34129.13,13841.29,26655.55,4754.56,41523.62,19432.02,29716.32,19354.84,28461.78,20071.34,9748.49,14041.28,11538.46,9439.17,19693.5,35301.88,0,14533.15,10363.49,31478.23,31436.98,18412.52,7682.61,25268.23,5146.04,16278.72,14133.89,8056.13,30447.02,34796.53,41316.49,4153.17,5219.41,12043.57,8032.75,32497.86,31759.2,10345.73,38667.01,30650.36,3984.71,22426.14
Pak 'n Save Clendon,20487.49,45150.13,37149.52,14013.81,48001.22,43713.82,28118.08,26946.49,18977.77,51108.3,29016.71,39301,19645.78,24309.22,11708.94,7662.23,23625.96,3361.75,22006.08,29278.19,44886.57,14535.95,0,23077.04,33132.44,33091.19,10849.62,7717.59,31818.87,11659.04,8474.26,18564.47,17982.31,40031.7,36450.74,50901.18,10786.46,19442.62,21628.26,6552.44,34152.07,30451.53,23059.28,40321.22,40235.04,20182.95,23662.25
Pak 'n Save Glen Innes,15381.07,29527.34,21526.72,10704.67,32378.42,28091.02,3594.06,22964.68,12782.47,35485.51,10447.24,23678.21,14539.36,22174.88,27557.38,14617.39,7302.71,20038.29,3761.04,11994.35,29263.77,10526.22,22904.55,0,25191.34,25150.08,15863.88,15228.58,18981.34,15031.33,23764.75,10654.75,5581.7,24408.91,28509.64,35278.38,14017.96,14301.97,6453.28,17185.21,26210.97,25472.3,408.05,32380.11,24612.25,7895.6,16139.24
Pak 'n Save Henderson,16571.23,23171.41,23709.52,32135.45,27475.93,30273.82,22625.88,9917.77,34753.08,30820.9,17217.77,27023.58,14703.89,8103.47,44538.52,30962.25,19192.81,37019.44,22861.89,15645.51,22907.84,31957,33927.42,26951.16,0,3604.4,24657.26,33295.55,11279.9,34826.5,40745.9,19703.54,25000.29,25607.21,8838.72,30613.78,33636.55,36272.59,20786.09,34654.96,2460.98,5457.62,25845.24,12709.19,25377.16,29314.65,13069.36
Pak 'n Save Lincoln Road,16257.17,20006.09,23395.47,31821.4,24310.61,32815.93,22311.82,12504.38,34439.03,27655.58,16903.71,23858.26,14389.83,11911.21,44224.46,30648.2,18878.75,36705.38,22547.84,15331.45,19742.52,31642.95,33613.37,26637.11,3579.6,0,24343.21,32981.5,10965.85,34512.45,40431.84,19389.48,24686.23,22441.89,5673.39,27448.46,33322.5,35958.54,20472.03,34340.91,1971.64,8044.23,25531.18,9543.87,22211.84,29000.6,12755.31
Pak 'n Save Mangere,11154.85,33192.7,25192.09,17328.62,36043.79,31756.38,17124.62,17613.85,19507.95,39150.87,17059.27,27343.57,10313.14,14976.58,21689.37,6779.05,14900.87,14170.29,15113.38,22232.3,32929.13,17850.77,11078.27,15607.5,23799.8,23758.55,0,10446.4,22486.23,14973.85,17896.75,9231.83,10997.39,28074.27,27118.1,38943.74,14101.28,19972.79,12079.45,11805.81,24819.43,21118.89,15589.74,30988.58,28277.61,14499.66,14329.61
Pak 'n Save Manukau,19979.22,37068.36,29067.74,7238.44,39919.44,35632.04,20036.3,26438.22,12202.4,43026.52,20934.93,31219.22,19137.51,23800.95,13469.76,3125.05,15544.18,5950.68,13924.3,21196.41,36804.79,7760.59,7156.56,14995.26,32624.17,32582.92,10341.35,0,26771.13,5201.05,9677.14,17105.26,9900.53,31949.92,35942.47,42819.4,4011.1,12667.25,13546.48,3133.87,33643.8,29943.26,14977.5,39812.95,32153.26,12101.17,23929.04
Pak 'n Save Mt Albert,5291.89,29246.96,21246.35,21542.8,32098.05,27810.65,16772.37,8579.27,24160.43,35205.13,14754.59,23397.83,3424.55,5942.01,33259.18,19682.92,12708.62,25740.1,15341.99,13182.33,28983.4,21364.35,22648.09,19812.93,14749.83,14708.58,13377.93,22016.21,0,26543.67,29466.56,8424.2,15880.64,24128.53,18068.13,34998.01,25671.09,25679.94,12308.06,23375.62,15769.46,12084.32,19795.18,21938.61,24331.88,18722,6061.86
Pak 'n Save Ormiston,24825.33,38367.82,30367.21,4640.54,41218.91,36931.51,21335.77,31284.33,9736.41,44326,22234.4,32518.7,23983.63,28647.06,14511.88,7295.74,16843.65,8604.26,15223.78,22495.88,38104.26,5162.68,11598.95,14737.95,34280.61,34239.36,15187.46,5031.2,28070.61,0,13590.15,18404.73,11200,33249.39,37598.91,44118.87,1501.77,10201.26,14845.95,5098.55,35300.24,34789.38,14720.19,41469.39,33452.73,8359.17,25228.51
Pak 'n Save Papakura,28193.48,46444.2,38443.59,17778.74,49295.29,45007.88,29412.15,34652.48,22268.06,52402.37,30310.77,40595.07,27351.78,32015.22,1814.19,13101.64,24920.03,5081.28,23300.15,30572.26,46180.63,18300.88,7618.28,24371.11,40838.44,40797.18,18555.61,10074.79,36146.98,13699.84,0,26270.47,19276.38,41325.77,44156.74,52195.24,14551.4,25547.76,22922.33,9478.69,41858.07,38157.53,24353.35,48027.21,41529.11,21477.01,33304.89
Pak 'n Save Royal Oak,5536.79,24554.83,16554.22,14232.97,27405.92,23118.51,9600.09,12933.35,16850.6,30513,8421.4,18705.7,4695.08,10296.08,27821.94,14245.68,5093.68,20302.86,7448.85,8682.89,24291.26,14054.52,17210.85,11538.12,19119.3,19078.05,7940.69,16578.97,14257.61,18395.92,24029.32,0,7742.93,19436.4,22437.6,30305.87,17205.97,18370.11,4414.92,17938.38,20138.93,16438.39,10432.2,26308.08,19639.74,11412.17,7591.88
Pak 'n Save Sylvia Park,13542.95,28717.38,20716.76,8164.96,31568.46,27281.06,8541.19,20001.95,10782.59,34675.55,12583.95,22868.25,12701.24,21613.71,22195.22,9255.24,7193.21,14676.14,4576.99,12845.43,28453.81,7986.51,17542.4,5351.58,24630.16,24588.91,11455.5,9866.43,18420.16,11064.47,18402.61,7736.88,0,23598.95,27948.46,34468.42,9874.52,12302.1,4095.49,11823.07,25649.79,24911.13,5333.83,31818.94,23802.29,5344.15,15578.07
Pak 'n Save Wairau Road,23826.11,7311.51,5452.9,29054.66,10162.6,10705.93,17736.88,24407.39,31672.29,13269.68,10777.44,2578.82,21958.77,21728.33,42876.46,29936.47,16112.01,35357.38,19781.1,9906.79,7047.94,28876.21,38223.64,23870.36,24269.61,21960.34,26747.77,30547.67,18534.79,31745.71,39083.84,18040.86,21919.49,0,17743.55,13062.56,30555.75,33191.79,17705.29,32504.3,23799.9,25025.76,22764.44,14400.48,5478.22,26233.85,15692.69
Pak 'n Save Westgate,19480.53,15735.45,20725.88,35044.75,20039.97,28545.29,25535.18,17810.64,37662.39,23384.94,20127.07,19587.62,17613.19,15134.57,47447.82,33871.56,22102.11,39928.74,25771.2,18554.81,15471.88,34866.3,36836.72,29860.46,8177.38,5868.11,27566.56,36204.85,14189.21,37735.8,43655.2,22612.84,27909.59,18171.25,0,23177.82,36545.85,39181.89,23695.39,37564.26,7026.1,14411.97,28754.54,5273.23,17941.2,32223.95,15978.66
Four Square BKs Torbay,35726.16,6583.02,18903.34,40954.7,3357.93,23430.16,29636.93,36307.44,43572.34,1785.93,22677.48,11607.33,33858.82,33628.38,54776.51,41836.52,28012.06,47257.43,31681.14,21806.84,6990.7,40776.25,50123.68,35770.41,29487.87,27178.6,38647.81,42447.71,30434.83,43645.75,50983.89,29940.91,33819.54,13056.13,22961.81,0,42455.8,45091.84,29605.34,44404.35,29018.16,35722.46,34664.49,19618.74,17204.18,38133.9,27592.74
Four Square Botany Junction,23977.82,37336.14,29335.52,3778.24,40187.22,35899.82,20304.08,30436.82,8742.21,43294.3,21202.71,31487.01,23136.12,27799.55,15998.77,6339.21,15811.97,7465.9,14192.09,21464.19,37072.57,4300.39,10460.59,13859.07,33248.92,33207.66,14339.95,3610.04,27038.92,1532.3,12206.15,17373.04,10168.32,32217.71,36567.22,43087.18,0,9207.05,13814.26,3960.18,34268.55,33941.87,13841.31,40437.7,32421.04,7480.29,24196.83
Four Square Cockle Bay,23449.71,38818.61,30818,5452.02,41669.7,37382.29,16572.22,29908.71,1626.47,44776.78,22685.18,32969.48,22608,31714.94,24836.25,14548.49,17294.44,16303.38,12170.1,22946.67,38555.04,4941.36,19298.06,13094.42,34731.39,34690.14,23177.43,12447.52,28521.39,10113.07,21043.63,17387.05,11309.29,33700.18,38049.69,44569.65,8918.08,0,15296.73,12797.66,35751.02,35012.36,13076.66,41920.17,33903.52,6734.38,25679.3
Four Square Ellerslie,10323.04,24646.28,16645.66,11990.24,27497.36,23209.96,6833.46,16782.04,14607.87,30604.45,8512.85,18797.14,9481.33,14144.77,25812.04,12872.06,3199.37,18292.96,3324.05,8774.33,24382.71,11811.79,21159.22,7413.32,20559.06,20517.8,11620.31,13483.25,14349.06,14681.29,22019.42,4472.1,4158.27,19527.84,23877.36,30397.32,13491.34,16127.38,0,15439.88,21578.69,20840.03,6307.4,27747.84,19731.19,9169.44,11506.96
Four Square Everglade,21721.97,39290.01,31289.4,7537.47,42141.09,37853.69,22257.96,28180.97,12501.43,45248.18,23156.58,33440.88,20880.26,25543.7,13742.92,6060.81,17765.84,3581.82,16145.96,23418.06,39026.44,8059.62,6576.51,17216.91,34366.92,34325.67,12084.1,3046.26,28992.79,5182.7,9950.3,19798.96,12122.19,34171.58,37685.22,45041.05,4310.13,12966.28,15768.13,0,35386.55,31686.01,17199.16,41555.7,34374.92,11239.51,26150.7
Four Square Fair Price Henderson,18090.51,21839.42,25228.8,33654.73,26143.94,34649.26,24145.15,11944.97,36272.36,29488.91,18737.04,25691.59,16223.17,10130.67,46057.8,32481.53,20712.09,38538.71,24381.17,17164.79,21575.85,33476.28,35446.7,28470.44,2442.31,1965.41,26176.54,34814.83,12799.18,36345.78,42265.18,21222.81,26519.57,24275.22,7506.73,29281.79,35155.83,37791.87,22305.37,36174.24,0,7484.81,27364.52,11377.2,24045.17,30833.93,14588.64
Four Square Glen Eden,10672.3,28464.12,24405.79,28902.1,32768.64,30970.09,23322.15,5150.54,31519.73,36113.61,17914.04,26557.28,10307.44,4662.98,40618.48,27042.22,19889.08,33099.4,23558.16,16341.78,28200.55,28723.65,30007.38,27647.43,5408.84,8025.19,20737.22,29375.51,14780.41,33902.96,36825.86,15783.5,25696.56,27287.98,14131.42,35906.48,33030.39,33039.24,21482.36,30734.92,7453.08,0,26541.51,18001.9,27491.32,26081.3,10526.27
Four Square Great Eastern,15230.16,29376.43,21375.82,10553.76,32227.52,27940.12,3822.26,22813.78,12631.56,35334.6,10675.45,23527.3,14388.46,22272.76,27406.47,14466.48,7151.8,19887.39,3610.14,13504.49,29112.87,10375.31,22753.65,412.47,25289.21,25247.96,15712.98,15077.68,19079.21,14880.43,23613.85,10503.84,5430.79,24258,28607.52,35127.48,13867.06,14151.07,6302.38,17034.31,26308.84,25570.18,0,32477.99,24461.34,7744.7,16237.12
Four Square Hobsonville,23021.47,11436.94,16427.38,38585.69,15741.46,24246.78,29076.11,21351.57,41203.32,19086.44,23668.01,15289.11,21154.13,18675.5,50988.76,37412.49,25643.05,43469.68,29312.13,22095.75,11173.37,38407.24,40377.66,33401.4,11718.32,9409.05,31107.5,39745.79,17730.14,41276.74,47196.14,26153.78,31450.53,13872.74,5192.26,18879.31,40086.79,42722.83,27236.33,41105.2,11248.61,17952.91,32295.47,0,13642.69,35764.89,19519.6
Four Square Lancaster,26696.69,11789.61,3586.54,31925.24,12513.61,15870.79,20607.46,27277.97,34542.87,17747.78,13648.02,8179.16,24829.35,24598.92,45747.04,32807.05,18982.59,38227.96,22651.68,12777.38,11526.04,31746.79,41094.22,26740.94,24332.5,22023.23,29618.35,33418.25,21405.37,34616.29,41954.42,20911.45,24790.07,5513.94,17806.44,17540.65,33426.34,36062.38,20575.87,35374.88,23862.79,27896.34,25635.02,14463.38,0,29104.44,18563.28
Four Square Pakuranga Heights,17522.8,32891.7,24891.09,4037.34,35742.79,31455.39,11147.24,23981.8,6327.4,38849.88,16758.28,27042.57,16681.1,25788.03,24537.51,11597.52,11367.53,17018.43,6745.13,17019.76,32628.14,3858.89,19884.69,7669.44,28804.49,28763.23,14541.04,9598.23,22594.48,8364.01,20744.89,11460.15,5382.39,27773.27,32122.79,38642.75,7350.64,7846.9,9369.83,11230.21,29824.12,29085.46,7651.69,35993.27,27976.61,0,19752.39
Fresh Collective Alberton,5198.51,22384.53,14383.92,22809.84,25235.62,20948.21,13300.27,9422.41,25427.47,28342.7,7892.16,16535.4,4363.65,6339.31,35154.32,21578.05,9867.2,27635.24,13536.28,5660.29,22120.96,22631.39,24543.22,17625.55,11872.96,11831.7,15273.06,23911.35,5662.96,25500.89,31361.7,8294.7,15674.68,17266.1,15191.26,28135.57,24310.94,26946.98,11460.48,25270.76,12892.59,10814.02,16519.63,19061.73,17469.44,19989.04,0
